,feature,mean,scale
385,DoRothEA::HSF4,4.480682884442723,0.3089000963642335
386,DoRothEA::HSF5,0.0,1.0
387,DoRothEA::IKZF1,3.4463301275760547,0.5624829911680614
388,DoRothEA::IKZF2,3.428263304899222,0.3853141844524674
389,DoRothEA::IKZF3,2.9163582320525396,0.8244840299853059
390,DoRothEA::IKZF4,-4.073353046502419,0.42439390044224345
391,DoRothEA::IKZF5,4.152019884106735,0.3782251893517132
392,DoRothEA::INSM1,-4.1009568204121685,0.32722558361525567
393,DoRothEA::IRF1,2.6186094964897713,0.9615331520349504
394,DoRothEA::IRF2,4.125640026987242,0.4413880117830788
395,DoRothEA::IRF3,4.605430569185476,0.3500519427745088
396,DoRothEA::IRF4,3.7715805411467827,0.46790503040595416
397,DoRothEA::IRF5,4.251715277168948,0.3069086561740795
398,DoRothEA::IRF6,3.6620994328104985,0.8317008634038547
399,DoRothEA::IRF7,8.657271835132484,0.613986487611293
400,DoRothEA::IRF8,3.400961727183513,1.3536403591637058
401,DoRothEA::IRF9,3.661885426889107,1.2558754804265795
402,DoRothEA::IRX1,1.5945338567222767,3.0694577064939015
403,DoRothEA::IRX2,3.1035635426889105,1.56777407186089
404,DoRothEA::IRX3,3.208610876112483,0.9275587861984367
405,DoRothEA::IRX4,3.341837749427543,1.7351498299423116
406,DoRothEA::IRX5,3.2935614982008508,1.7086991902236393
407,DoRothEA::IRX6,3.8941372741442013,0.6144295611116287
408,DoRothEA::ISL1,4.2799759839432685,0.2939428078515846
409,DoRothEA::ISL2,4.170950661913441,0.3205466284214442
410,DoRothEA::ISX,4.339652709628176,0.29985803086988005
411,DoRothEA::JDP2,4.123239274676665,0.5191982125017129
412,DoRothEA::JUN,3.3264923892844465,0.7175662042498169
413,DoRothEA::JUNB,4.7820727793544275,0.5277349710976809
414,DoRothEA::JUND,3.3646854214371387,0.7518268579337528
