,feature,mean,scale
373,DoRothEA::HOXC6,3.4191053748231965,0.4459276748691828
374,DoRothEA::HOXC8,5.230657708628006,1.4807717220211922
375,DoRothEA::HOXC9,4.9512191086482655,0.06503441299741693
376,DoRothEA::HOXD10,4.035945308816596,0.8489012773856853
377,DoRothEA::HOXD11,5.201732443011743,0.07206247920088749
378,DoRothEA::HOXD12,5.172053873958824,0.08489981803215035
379,DoRothEA::HOXD13,4.811865562066411,0.05465940098999114
380,DoRothEA::HOXD3,5.163654003227284,0.07533367792839296
381,DoRothEA::HOXD8,4.9821119322414065,0.0835112707030881
382,DoRothEA::HOXD9,4.844221574915624,0.07307869255860384
383,DoRothEA::HSF1,5.491594059405941,0.42322557525040816
384,DoRothEA::HSF2,5.133375581446216,0.08673737447809798
385,DoRothEA::HSF4,5.106078240276681,0.10838786516073419
386,DoRothEA::HSF5,0.0,1.0
387,DoRothEA::IKZF1,5.958722489391797,0.2195634472597535
388,DoRothEA::IKZF2,4.95106636927429,0.09688603472280898
389,DoRothEA::IKZF3,5.9497970841040155,0.2688069523065861
390,DoRothEA::IKZF4,-5.29779076403881,0.13198753614864076
391,DoRothEA::IKZF5,5.430809187041153,0.19116815772149612
392,DoRothEA::INSM1,-4.730968322937124,0.06157585723563403
393,DoRothEA::IRF1,4.357648786856708,0.5211927524787001
394,DoRothEA::IRF2,5.460074478429986,0.17757330364043888
395,DoRothEA::IRF3,5.316997625782986,0.1749879031569177
396,DoRothEA::IRF4,5.671372398464336,0.17999207572092743
397,DoRothEA::IRF5,5.3740719808909665,0.19476695502348562
398,DoRothEA::IRF6,4.332543251903883,0.16222748017593216
399,DoRothEA::IRF7,9.789971711456861,0.5574400969767412
400,DoRothEA::IRF8,5.3770014144271565,0.45260421074458573
401,DoRothEA::IRF9,5.6752103960396045,0.8006880949606558
402,DoRothEA::IRX1,3.2784158415841587,1.415941380841093
403,DoRothEA::IRX2,3.5932885431400283,0.33571717335019985
404,DoRothEA::IRX3,3.4651129103058094,0.20963592488748276
405,DoRothEA::IRX4,3.4032333804809056,0.35610633995253493
406,DoRothEA::IRX5,3.110401933050448,0.46731082046548794
407,DoRothEA::IRX6,5.3286404858973295,0.2872888873651997
408,DoRothEA::ISL1,5.093699828705053,0.04780436717422963
409,DoRothEA::ISL2,4.951581488323759,0.0753399875328783
410,DoRothEA::ISX,5.266137238723872,0.0532530890634913
411,DoRothEA::JDP2,5.192655428655873,0.14780434883807528
412,DoRothEA::JUN,4.722526708597911,0.33988141280993955
413,DoRothEA::JUNB,6.067877594709277,0.3195883073917639
414,DoRothEA::JUND,5.515945308816597,0.5040453062797043
415,DoRothEA::KAT7,5.339292098852742,0.10340520126194204
